Oracion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Etiqueta Real   | Predicción
despues dia asi  usado ayer solo do horas listo  acceso xbox hoy encuentro asi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 1.0             | 1.0
0 sonido envolvente precision determinar direccion viene enemigo juegos fps  solo escucha pasos pie  ma 100 dolares esperaria algun tipo precision sonido                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 1.0             | 1.0
suenan bien ligeras  alcance duracion bateria excelentes  microfono dudoso veces  creo ultimo modelo  ls50x  mejor personalmente dueno tres modelos  ls35x  ls50x  ls100x                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 4.0             | 1.0
precio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 3.0             | 1.0
dando 5 estrellas sonaba fantastico   usado 7x  600gen2 suenan tan bueno 7x  embargo  devolvi mio  audio juego sangrando trave jugadores grupo  suele ser signo piezas baratas utilizadas construccion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 5.0             | 4.0
principio empezaron disgustar debido ciertos detalles  primera imposible conectarlos app telefono  intente toda formas posibles detectara telefono  segunda razon hora jugando xbox                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 1.0             | 5.0
duro super poquito tiempo  recomiendo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 1.0             | 1.0
gran relacion calidadprecio auriculare inalambricos  ls50 compre lx15 hijo  calidad sonido misma lx15 ma asequibles  ofrecen mismas caracteristicas  ma ligeras  hijo disfrutando inmensamente                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 4.0             | 3.0
dura bastante bateria sonido bueno                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 5.0             | 1.0
vale pena trabajar calidad sonido  seguro  contrario  bateria queda bateria tiempo aburrida                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 2.0             | 1.0
super cool  llego bien caja maltratada  super genial coleccion hijas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 5.0             | 4.0
mando fenomenal  literalmente hacer  literalmente contrario elite series 2  parece lejos ser premium  terminos rendimiento funciona locura  joystick parecen ma precisos elite  botones responden  use seis elite 2 tenian botones solo respondian alrededor 90  veces presionaba   sinceramente  creo diseno general ma comodo  botones traseros super ergonomicos  joystick alto rejilla convexo correr  gatillos responden bien  podria tener elevar zona muerta botones  lol   tambien sobresaliente poder controlar audio  silencio mezclador chat directamente mando  igual poder usar dolby atmos forma gratuita  solo do problemas mando  varios perfiles puedas cambiar facilmente juego  usa placa frontal morada goma limita ligeramente distancia viaje  minecraft dificil mantener sprint  aunque puede arreglar facilmente solo usar placa frontal plastico blanca   aunque bastante pequenos cuenta precio  embargo  absolutamente recomiendo                                                                             | 5.0             | 5.0
pide versiones  sonido potente respuesta voz perfecta  oferta buen fin quedo increible precio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 5.0             | 1.0
casi semana uso  verdad gustaron  buena duracion rededor 3 dia unas 3 4 hr  ma menos  cargan unas 3 hr  app bajas razer xbox mucha utilidad  microfono bueno  actualizar forma                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 5.0             | 2.0
bueno general  usaba frecuencia  queria par relajarme casa despues trabajo  despues ano  sonido detenia repentinamente  hizo solucion problemas habitual  acabo llamarlo  tiempo trabajaron decentes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 3.0             | 5.0
incomodos  puedes tener hora duelen orejas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2.0             | 3.0
m eparece buenos precio sonido tan bueno                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 3.0             | 5.0
trabajo casa  supuesto  prefiero auriculare bluetooth poder moverme casa  principio geniales  conectaban rapido  calidad sonido buena  general  bastante comodos  despues solo do semanas  dejaron funcionar  conectaban aparecian configuracion sonido  registraban entrada salida audio  probado diferentes dispositivos funciona ninguno  aunque aparezca conectado                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2.0             | 5.0
gusto auricular 4 me despues  sonido microfono buenos  buena conectividad dongle  use ps5 pc  tambien bastante comodos  cambie almohadillas oidos tela prefiero  doy cuenta haber compromisos precio auricular inalambrico  alrededor 4 me despues ajuste diadema costumbre escuche chasquido lugar foto  duro ninguna cosas  aparatos electronicos  etc  estan perfecta condiciones  asi sorprendio  vez ma  di cuenta plastico ma resistente  durara 5 me inaceptable  supongo obtienes pagas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 1.0             | 3.0
asi simple  casco incomodo  diadema craneo demasiado delgada  duele solo 1 hora  tan pronto presionas tecla notificaciones ingles  insoportable  encenderlo despues actualizarlo  facil dongle debe seguir presionando mientras enchufa   zumbido oido izquierdo  ligero suficiente molestar momentos silencio  alto peso duda juega incomodidad ademas diadema demasiado delgada  breve devuelto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 2.0             | 5.0
auriculare tamano infantil  inmuebles  exagerados  tan pequenos  frustrante  tampoco conectan constantemente trave bluetooth  frustrante  buenos nino umbral frustracion bajo  si persona existe  tiempo pasarme medium hora intentando vez conectar auriculare televisor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 2.0             | 3.0
pedi do unidades producto puesto precio bastante bien calidad jbl acostumbrados  embargo  pedi ambo productos vinieran empaquetados regalo  cobraron obviamente  empaquetado   unicamente                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 3.0             | 1.0
microfono demasiado sensible                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 1.0             | 1.0
grandes auriculare precio  ten cuenta puedes controlar audio chat audio juego separado  asi constantemente meterme audio menu juego  fastidio  ajuste grande cabeza  hace trabajo  general  satisfecho compra                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 3.0             | 3.0
superaron expectativas cuanto sonido  musica llamadas escuchan bien  problemas eco diseno agradable aunque gusto  cojin diadema mejor  despues rato empieza lastimar cabeza  demas encuentro                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 4.0             | 5.0
mando bueno principio  despues par me  joystick izquierdo dejo funcionar manera constante joystick derecho tenia enorme deriva                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 1.0             | 5.0
aunque ls50 problemas conexion serie x  siguen siendo mejores  ls100 funciona perfeccion  vale pena esfuerzo perdida extra ofrece ls50  solo puedo jugar 3 4 horas cabeza orejas maten  ls50 18 horas puedes usar bluetooth mientras juegas  duracion bateria aproximadamente misma                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 2.0             | 1.0
realmente sido dificil configurarlo  articulos comprados amazon podido integrar facilmente red alexa  foco dificil detectara red luego ponerlo funcionar propia aplicacion luego                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 3.0             | 2.0
bueno   waifus 10 10 kurona                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 4.0             | 1.0
comodidad peso ligero maravillosos  duracion bateria realmente asombrosa  microfono cumple  mayoria clan par oimos bastante bien  encanta facilidad cambiar consola telefono recibo llamada medio partida  si esperas escuchar musica  posible decepciones  incluso programa dolby atmos  gasto adicional  cierto   buenos musica                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 4.0             | 5.0
facil instalar  buena calidad luz quieres usar modo musica llega trabar reconoce sonidos tan facilmente                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 4.0             | 3.0
perfeccion funciona cien                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 5.0             | 4.0
verdad tan buena  calidad sonido buena                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2.0             | 1.0
excelente opcion sonido  potentes nitidos incomodos terminan calando demasiado presion generan  modelo recomendable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3.0             | 5.0
joystick izquierdo desvia despues 5 me servicio atencion cliente responde correos electronicos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 3.0             | 4.0
funciona bien facil configurar buena gama colores                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 5.0             | 2.0
producto llego danado pedi do focos mal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 1.0             | 5.0
buena calidad resistencia ademas sonido  valen pena                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 4.0             | 1.0
esperaba  auriculare cubren orejas demasiado pequenos apretados  parece nino 6 10 ano  suena bien                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 2.0             | 4.0
auriculare simplemente colgaban solo iluminaban permanentemente funcionaba  apagaban ma  solo despues do dia apagaba podias volver encenderlos  luego devolvi recomiendo razer nari ultimate xbox one  mejores auriculare tambien serie x                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 1.0             | 2.0
tantas ganas encanten auriculare  obtiene 5 estrellas muchas area  diseno ajuste mejores visto ahora   probado 5 auriculare juegos ultimos 6 me   sonido alta calidad audio domestico  bueno auricular juegos  embargo  puntos venta clave conectividad nativa xbox series x  hecho  conecto inmediato esperaba  si ma sonidos ma simple  obtengo monton crujidos estaticos  intente do veces viendo pelicula streaming trave aplicacion streaming xbox  olvidate  solo estatica casi constante  voy quedar  auriculare bastante buenos conectarlos bluetooth telefono  nunca volvere usar jugar  hecho  inutil                                                                                                                                                                                                                                                                                                                                                                                                                          | 3.0             | 4.0
puede vincular wifi frecuencia 5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 3.0             | 5.0
persona traido encantan problemas usarlos  tambien gusta hecho pueden moverse molesten cable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 3.0             | 4.0
dispositivo facil instalar  embargo dia dia desconecta red reinicia encendido foco                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 3.0             | 2.0
